AUTHOR;DATES / CENTURY;VIAF;TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;KEY WORDS Unite;LINKS;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3
Chandieu, Antoine de;1534 - 1591;http://viaf.org/viaf/64078120;Locus de unico Christi sacerdotio et sacrificio, adversus commentitium missae sacrificium, theologicè & scholasticè tractatus;1581;Geneva;;Le Preux Jean ;Latin;"Morges, J. Le Preux, 1583; Geneva, J. Le Preux, 1588";Reformed;Jesus' Sacrifice;Controversy;;;"Reformed;Jesus' Sacrifice;Controversy;;";https://www.e-rara.ch/gep_g/content/zoom/3110500 ;4. Sacrifice and Eucharist (16th-18th century);;
Chandieu, Antoine de;1534 - 1591;http://viaf.org/viaf/64078120;Traicté theologic et scholastique, de l'unique sacrificature et sacrifice de Jesus Christ : contre le controuvé sacrifice de la messe. Escrit en latin par Antoine de Chandieu excellent theologien, et nouvellement mis en françois par S. G. S.;1595;Geneva;;Le Preux Jean ;French;;Christ's sacrifice;Mass;Calvinist;Controversy;Controversy;"Christ's sacrifice;Mass;Calvinist;Controversy;Controversy";https://www.e-rara.ch/lac1_g/content/zoom/11398625;4. Sacrifice and Eucharist (16th-18th century);;
Chubb, Thomas;1679 - 1747;http://viaf.org/viaf/69269764;"Four tracts. Viz. I. An enquiry concerning the books of the New Testament ... II. Remarks on Britannicus's letters, publish'd in the London journals of the 4th and 11th of April, 1724 ; ... III. The case of Abraham with respect to his being commanded by God to offer his son Isaac in sacrifice ... IV. The equity and reasonableness of a future judgment and retribution exemplify'd";1732;London;;Cox T.;English;;Bible, Genesis;Deist;Old Testament;Abraham;;"Bible, Genesis;Deist;Old Testament;Abraham;";https://www.google.it/books/edition/Chubb_s_Tracts/1erzKE6YDCcC?hl=it&gbpv=1&dq=An+enquiry+concerning+the+books+of+the+New+Testament+chubb&pg=RA3-PA1&printsec=frontcover;1. Sacrifice and Bible (16th-18th century);;
Cloppenburg, Johannes;1592 - 1652;http://viaf.org/viaf/100166146;Sacrificiorum patriarchalium schola sacra, in qua examinatur sacrificiorum antiquitas, usus et antiquatio. Cum spicilegio;1637;Leiden;;ex officina Elseviriorum;Latin;Leiden, Elsevur, 1637;History;Patriarchs;Ancient Sacrificies;;;"History;Patriarchs;Ancient Sacrificies;;";https://books.google.it/books?id=hCYxgj4kRMUC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
Collins, William;? - ?;;Missa triumphans, or, The triumph of the mass : wherein all the sophistical and wily arguments of Mr de Rodon against that thrice venerable sacrifice in his funestuous tract by him called, The funeral of the Mass, are fully, formally, and clearly answered : together with an appendix by way of answer to the translators preface;1675;Leuven;;F.P.M.O.P.;English;;Catholic;Controversy;Mass;Sacrament;;"Catholic;Controversy;Mass;Sacrament;";https://www.google.it/books/edition/Missa_Triumphans_or_the_Triumph_of_the_M/x7ZoAAAAcAAJ?hl=it&gbpv=1&dq=Missa+triumphans,+or,+The+triumph+of+the+mass&pg=PA192&printsec=frontcover;4. Sacrifice and Eucharist (16th-18th century);;
Conti, Natale;1520 - 1582;http://viaf.org/viaf/32030981;Mythologie, c'est à dire Explications des fables contenant les généalogies des dieux, les cérémonies de leurs sacrifices, leurs gestes, adventures, amours et presque tous les préceptes de la philosophie naturelle et morale. Extraite du latin de Noel-le-Comte par J de M. (Jean de Montlyard);1604;n. p.;;Iean Poyer;French;;Liturgy;Ancient rites;Greeks;Jews;Antiquarian;"Liturgy;Ancient rites;Greeks;Jews;Antiquarian";https://books.google.it/books?id=_Y5gziZ9SMUC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Coton, Pierre;1564 - 1626;http://viaf.org/viaf/76341538;Du très-sainct et très-auguste sacrement, et sacrifice de la messe... discours contre les erreurs de nostre siècle et les cayers d'un prédicant à Grenoble;1600;Avignon;;Iaques Bremereay;French;;Catholic;Jesuits (S.J.);Eucharist;Mass;Controversy;"Catholic;Jesuits (S.J.);Eucharist;Mass;Controversy";https://books.google.it/books?id=zLCNA7k8qNEC&pg=PA607&lpg=PA607&dq=Du+tr%C3%A8s-saint+et+tr%C3%A8s-auguste+sacrement,+et+sacrifice+de+la+messe...+discours+contre+les+erreurs+de+nostre+si%C3%A8cle+et+les+cayers+d%27un+pr%C3%A9dicant+%C3%A0+Grenoble&source=bl&ots=BYWJ_yD7a5&sig=ACfU3U03xH9dd36TYiUL-qyF_QWVBBO0ug&hl=it&sa=X&ved=2ahUKEwiq6IL3gK3wAhWJOuwKHfeCD3UQ6AEwB3oECAYQAw#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Daillé, Jean;1594 - 1670;http://viaf.org/viaf/12601310;Le sacrifice des chrestiens, sermon fait le 2 de l'an 1633, sur Rom. 12, 1;1645;Paris;;Melchior Mondiere;French;;Sermon;Huguenot;Saint Paul;Romani;;"Sermon;Huguenot;Saint Paul;Romani;";https://books.google.it/books?id=3N08AAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;1. Sacrifice and Bible (16th-18th century);;
Dawes, William;1671 - 1724;http://viaf.org/viaf/49573088;An anatomy of atheisme a poem. By the author of The duties of the closet. A verse may find him who a Sermon flyes, And turn Delight into a Sacrifice. Herbert's Poems;1701;London;;Thomas Speed;English;London, Thomas Speed, 1701;Atheism;Anglican;Poem;;;"Atheism;Anglican;Poem;;";https://www.google.it/books/edition/An_Anatomy_of_Atheisme/g-RbAAAAQAAJ?hl=it&gbpv=1&dq=An+anatomy+of+atheisme+a+poem.+By+the+author+of+The+duties+of+the+closet.+A+verse+may+find+him+who+a+Sermon+flyes,+And+turn+Delight+into+a+Sacrifice&pg=PP5&printsec=frontcover;1. Sacrifice and Bible (16th-18th century);;
Drelincourt, Charles;1595 - 1669;http://viaf.org/viaf/144524;Des sacrifices de l'ancienne et de la nouvelle alliance, et de la résignation du fidèle à la volonté de Dieu;1643;Paris;;"n. p.; Nicolas Bourdin, L. Perier";French;;Huguenot;Abraham;Christ's Sacrifice;Alliance;Bible, Genesis;"Huguenot;Abraham;Christ's Sacrifice;Alliance;Bible, Genesis";https://books.google.it/books?id=M2sOAAAAQAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;1. Sacrifice and Bible (16th-18th century);;
Bartas de Saluste, Guillaume du;1544 - 1590;http://viaf.org/viaf/73852818;The triumph of faith The sacrifice of Isaac. The ship-wracke of Ionas. With a song of the victorie obtained by the French king, at Yvry. Written in French, by W. Salustius lord of Bartas, and translated by Iosuah Siluester, marchant aduenturer;1592;[London];;Richard Yardley;English;;Huguenot;Isaac;;;;"Huguenot;Isaac";https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/A68693 ;1. Sacrifice and Bible (16th-18th century);;
Villegagnon, Nicolas Durand de;1510 - 1571;http://viaf.org/viaf/56620028;De Consecratione, Mystico Sacrificio, Et Dvplici Christi oblatione aduersus Vannium Lutherologiæ professorum: De Pocvlo Sangvinis Christi & introitu in sancta sanctorum, interiora velaminis aduersus Bezam: cum refutationibus quarundam propositionum Caluinologia própugnatoris;1569;Lutetia;;Sebastianum Niuellium;Latin;;Catholic;Mess;Lutheran;Controversy;Jesus' Sacrifice;"Catholic;Mess;Lutheran;Controversy;Jesus' Sacrifice";https://books.google.it/books?id=wOc7AAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Villegagnon, Nicolas Durand de;1510 - 1571;http://viaf.org/viaf/56620028;De venerandissimo Ecclesiae Sacrificio;1561;Paris;;Andream Wechelum;Latin;Parisiis, Andream Wechelum, 1562;Catholic;Mess;Church;Jesus' Sacrifice;;"Catholic;Mess;Church;Jesus' Sacrifice;";https://books.google.it/books?id=9oQ8AAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Eck, Johann;1486 - 1543;http://viaf.org/viaf/100185986;De sacrificio missae contra Lutheranos libri tres;1526;Cologne;;Io. Soterem;Latin;;Catholic;Mess;Controversy ;Lutheran;Sacrament;"Catholic;Mess;Controversy ;Lutheran;Sacrament";https://daten.digitale-sammlungen.de/0001/bsb00013344/images/index.html?fip=193.174.98.30&id=00013344&seite=1;4. Sacrifice and Eucharist (16th-18th century);;
Edwards, John;1637 - 1716;http://viaf.org/viaf/47815346;Polpoikilos sophia, a compleat history or survey of all the dispensations and methods of religion, from the beginning of the world to the consummation of all things, as represented in the Old and New Testament shewing the several reasons and designs of those different administrations, and the wisdom and goodness of God in the government of His church, through all the ages of it : in which also, the opinion of Dr. Spencer concerning the Jewish rites and sacrifices is examin'd, and the certainty of the Christian religion demonstrated against the cavils of the Deists, &c.;1699;London;;"n. p.; ""Daniel Brown, Ionath. Robinson, Andrew Bell,
Iohn Wyat and E. Harris""";English;;Lyturgic;Ancient Rituals;Jewish sacrifice;Controversy;;"Lyturgic;Ancient Rituals;Jewish sacrifice;Controversy;";https://quod.lib.umich.edu/e/eebo/A38026.0001.001?view=toc ;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Fecht, Johann;1636 - 1716;http://viaf.org/viaf/29810802;Disputatio De Sacrificio Missae Propitiatorio Pro Vivis Mortuisque, Joanni Decio, Jesuitae, Opposita;1701;Rostock;;Schwiegerovius;Latin;;Lutheran;Mess;Jesuit;Controversy;;"Lutheran;Mess;Jesuit;Controversy;";https://digital.slub-dresden.de/werkansicht/dlf/53510/1/;4. Sacrifice and Eucharist (16th-18th century);;
Franz, Wolfgang;1564 - 1628;http://viaf.org/viaf/19145857776523020836;Schola Sacrificiorum Patriarchalium Sacra, Hoc Est, Assertio solidissima, Satisfactionis Á Domino nostro Iesv Christo ... praestitae: in Sacrificiorum veterum typis fundata, & recentibus Arrianis seu Photinianis eandem negantibus, per Disputationes XXII;1654;Wittenber;;Balthasar Mevius;Latin;Wittebergae, 1698;Lutheran;Patriarchs;Arian;Plotinian;Jesus' Sacrifice;"Lutheran;Patriarchs;Arian;Plotinian;Jesus' Sacrifice";https://books.google.it/books?id=1CFUAAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Franz, Wolfgang;1564 - 1628;http://viaf.org/viaf/19145857776523020836;Disputationum Theologicarum De Sacrificiis Satisfactionis Pro Peccatis Totius Mundi Praestitae, Typis Certissimis, Et Firmissimis, Adversus recentiores Arianos seu Photinianos Satisfactionem Christi omnem pernegantes Tertia : Quod in actibus sacrificiorum preces ardentissimas & Cantica sacra adhibuerint / Quae In Collegio Disputationum Theologicarum ... d. 1. Februar. Anno MDCXV. in ... Wittebergensium Academia habebitur Praeside Wolfgango Franzio ... Respondente M. Georgio Gutkio ...;1615;Wittenber;;Gormannus;Latin;;Lutheran;Patriarchs;Arian;Plotinian;Jesus' Sacrifice;"Lutheran;Patriarchs;Arian;Plotinian;Jesus' Sacrifice";https://www.deutsche-digitale-bibliothek.de/item/JFTWLQRKYOVSKFM2TV63MKLRNZZZ6GRH;4. Sacrifice and Eucharist (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Frischmuth, Johann;1619 - 1687;http://viaf.org/viaf/1145304682378611274;ham- Māšîaḥ še-hēśîm nafšô be-āšām Sive Dissertationis Academicae, Qua Deum Opt. Max. Non Sacrificiorum Leiturgia. Sed Unica Illa Messiae Pro Reatu Se Tradentis Hostia, placari ostenditur, ex Psal. XL, 7. seqq. Pars ...: ... Ad d. XIII. Calend. Februar. Anni MDCLXXII.;1672;Jena;;Krebsius;Latin;;Lutheran;Mess;Christ;Hebrew;Liturgy;"Lutheran;Mess;Christ;Hebrew;Liturgy";https://books.google.it/books?id=W91PAAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);
Gourdan, Simon;1646 - 1729;http://viaf.org/viaf/61536373;Sacrifice perpetuel de foy et d'amour au tres-saint sacrement de l'autel: par rapport aux mysteres, & aux differentes qualitez de notre-seigneur Jesus-Christ;1714;Paris;;Jacques Estienne;French;"1715, Paris, Estienne; 1725; 1727; 1773";Catholic;Augustin;France;Eternity;Christ's Sacrifice;"Catholic;Augustin;France;Eternity;Christ's Sacrifice";https://books.google.it/books?id=2dQ_6kZtOV4C&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Grancolas, Jean;1660-1732;http://viaf.org/viaf/66476401;"Les Anciennes Liturgies, ou, La Maniere Dont On A Dit la sainte Messe dans chaque siècle : dans les Eglises d'Orient & dans celles d'Occident : Avec la recherche de toutes les Pratiques, Prières & Ceremonies qui s'observent dans le saint Sacrifice
";1697;Paris;;Jean de Nully;French;1704;Catholic;History;Sorbonne University;Eucharist;Liturgy;"Catholic;History;Sorbonne University;Eucharist;Liturgy";https://books.google.it/books?id=cW_vBKfMyDgC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);
Hanway, Jonas;1712-1786;http://viaf.org/viaf/64015807;The commemorative sacrifice of our Lord's supper considered as a preservative against superstitious fears and immoral practices. Earnest advice to persons who live in an habitual neglect of this means of grace and hope of felicity. Prayers suited to the general exigencies of Christians and the particular circumstances of the British Nation. By Jonas Hanway, Esq.;1777;London;;Dodsley;English;;Last Supper;Superstition/Fear;Immorality;Prayer;Eucharist;"Last Supper;Superstition/Fear;Immorality;Prayer;Eucharist";https://www.worldcat.org/title/commemorative-sacrifice-of-our-lords-supper-considered-as-a-preservative-against-superstitious-fears-and-immoral-practices-earnest-advice-to-persons-who-live-in-an-habitual-neglect-of-this-means-of-grace-and-hope-of-felicity-prayers-suited-to-the-general-exigencies-of-christians-and-the-particular-circumstances-of-the-british-nation-by-jonas-hanway-esq/oclc/745275566&referer=brief_results;4. Sacrifice and Eucharist (16th-18th century);;
Hanway, Jonas;1712 -1786;http://viaf.org/viaf/64015807;"Earnest advice : particularly to persons who live in an habitual Neglect of Our Lord's Supper, considered as a commemorative Sacrifice inseparable from Christianity, and as A Preservative against superstitious Fears, and the immoral Practices, which deface the Glory of our Country, and darken our Prospects of a Life to come. In forty-nine letters. By Jonas Hanway, Esq.
";1778;London;;sold by Dodsley;English;1777 maybe;Handbooks;Eucharist;Last Supper;Controversy;Superstition/Fear;"Handbooks;Eucharist;Last Supper;Controversy;Superstition/Fear";https://www.worldcat.org/title/earnest-advice-particularly-to-persons-who-live-in-an-habitual-neglect-of-our-lords-supper-considered-as-a-commemorative-sacrifice-inseparable-from-christianity-and-as-a-preservative-against-superstitious-fears-and-the-immoral-practices-which-deface-the-glory-of-our-country-and-darken-our-prospects-of-a-life-to-come-in-forty-nine-letters-by-jonas-hanway-esq/oclc/745066128?referer=di&ht=edition;4. Sacrifice and Eucharist (16th-18th century);;
Hardy, Samuel;[1619] - 1693; http://viaf.org/viaf/36778067;The indispensible necessity of constantly celebrating the Christian sacrifice, plainly proved from Scripture and antiquity. By Samuel Hardy, A. B. Curate of Layham;[1746];London;;[printed for the author];English;;Celebration;Liturgy;Eucharist;;;"Celebration;Liturgy;Eucharist;;";https://www.worldcat.org/title/indispensible-necessity-of-constantly-celebrating-the-christian-sacrifice-plainly-proved-from-scripture-and-antiquity-by-samuel-hardy-a-b-curate-of-layham/oclc/837917831?referer=di&ht=edition;4. Sacrifice and Eucharist (16th-18th century);;
[Lady] Herbert, Lucy ;1669 - 1744;http://viaf.org/viaf/282931845;Several excellent methods of hearing mass : with fruit & benefit according to the institution of that divine sacrifice and the intention of our Holy Mother the Church with motives To induce all good Christians, particularly Religious Persons to make use of the same: AS Also Several other practises of Devotion appertaining to A Religious life collected together by the Right Honourable Lady Lucy Herbert of Powis Superiour of the English Augustin-Nuns;1722;Bruges;;John de Cock;English;1790, Bruges, C. de Moor;"
Mass";Women;Eucharist;Handbooks;;"
Mass;Women;Eucharist;Handbooks;";https://books.google.it/books?id=RgMvlQEACAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Hurst, Henry;1629 - 1690;http://viaf.org/viaf/255309572;"The revival of grace in the vigour and fragrancy of it by a due application of the blood of Christ to the root thereof, or, Sacramental reflections on the death of Christ a sacrifice, a testator, and bearing a curse for us : particularly applying each for the exciting and increasing the graces of the believing communicant
";1689;London;;Rich. Janeway;English;1698, London, Tho. Parkhurst (3rd ed.);Doctrinal;Non-conformist;Christ's Sacrifice;Blood;Grace;"Doctrinal;Non-conformist;Christ's Sacrifice;Blood;Grace";https://quod.lib.umich.edu/e/eebo/A30118.0001.001?view=toc;4. Sacrifice and Eucharist (16th-18th century);;
Jacombe, Thomas;1622 - 1687;http://viaf.org/viaf/42187340;Several sermons preach'd on the whole eighth chapter of the Epistle to the Romans : eighteen of which preach'd on the first, second, third, fourth verses are here published : wherein the saints exemption from condemnation, the mystical union, the spiritual life, the dominion of sin and the spirits agency in freeing from it, the law's inability to justifie and save, Christ's mission, eternal sonship, incarnation, his being an expiatory sacrifice, fulfilling the laws righteousness (which is imputed to believers) are opened, confirmed, vindicated, and applied;1672;London;;W. Godbid;English;;Anglican;Saint Paul;Letter to the Roman;Christ's sacrifice;Sermon;"Anglican;Saint Paul;Letter to the Roman;Christ's sacrifice;Sermon";https://www.worldcat.org/title/several-sermons-preachd-on-the-whole-eighth-chapter-of-the-epistle-to-the-romans-eighteen-of-which-preachd-on-the-first-second-third-fourth-verses-are-here-published-wherein-the-saints-exemption-from-condemnation-the-mystical-union-the-spiritual-life-the-dominion-of-sin-and-the-spirits-agency-in-freeing-from-it-the-laws-inability-to-justifie-and-save-christs-mission-eternal-sonship-incarnation-his-being-an-expiatory-sacrifice-fulfilling-the-laws-righteousness-which-is-imputed-to-believers-are-opened-confirmed-vindicated-and-applied/oclc/1066823990&referer=brief_results;4. Sacrifice and Eucharist (16th-18th century);1. Sacrifice and Bible (16th-18th century);
"Jaubert, Pierre.; Lacornée, Jean-Baptiste ";"1715 - 1780; 1697 - 1772";"http://viaf.org/viaf/17224430; http://viaf.org/viaf/22279888";Dissertation sur un temple octogone et plusiers bas-reliefs trouvez à Cestas : lesquels désignent des fêtes de Cybéle, une initiation à ses mystéres, & une sacrifice qu'on lui a offert : enrichie de figures en taille douce & des notes curieuses;1743;Bordeaux;;Jean-Baptiste Lacornée;French;;Cybele;Ancient Sacrifice;Roman Gods;Temple;;"Cybele;Ancient Sacrifice;Roman Gods;Temple;";https://fr.wikisource.org/wiki/Dissertation_sur_un_temple_octogone_et_plusieurs_bas-reliefs_trouvez_%C3%A0_Cestas/Dissertation;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Johnson, John;1662-1725;;"The unbloody sacrifice, and altar, unvail'd and supported. : In which the nature of the eucharist is explain'd according to the Sentiments of the Christian Church in the Four First Centuries. Part the second. Shewing, The Agreement and Disagreement of the Eucharist with the Sacrifices of the Antients, and the Excellency of the former. The great Moment of the Eucharist both as a Feast, and Sacrifice. The Necessity of frequent Communion. The Unity of the Eucharist. The Nature of Excommunication. And the Primitive Method of Preparation. With Devotions for the Altar. I deny not, but that the Fathers do, and that with great reason, very much magnity the wonderful Mystery, and Efficacy of this Sacrament, and frequently speak of a great Supernatural Change made by the Divine Benediction ; which we also readily acknowledge. Archbishop Tillotson, in his Discourse of Transubstantiation, Pag. 291. of his Works in Folio, publish'd in his Life-Time. By John Johnson, A.M.";[1718];London;;Robert Knaplock;English;;Mess;Anglican;Laudian tradition;Christianity (first centuries);;"Mess;Anglican;Laudian tradition;Christianity (first centuries);";https://www.worldcat.org/title/unbloody-sacrifice-and-altar-unvaild-and-supported-in-which-the-nature-of-the-eucharist-is-explaind-according-to-the-sentiments-of-the-christian-church-in-the-four-first-centuries-part-the-second-shewing-the-agreement-and-disagreement-of-the-eucharist-with-the-sacrifices-of-the-antients-and-the-excellency-of-the-former-the-great-moment-of-the-eucharist-both-as-a-feast-and-sacrifice-the-necessity-of-frequent-communion-the-unity-of-the-eucharist-the-nature-of-excommunication-and-the-primitive-method-of-preparation-with-devotions-for-the-altar-i-deny-not-but-that-the-fathers-do-and-that-with-great-reason-very-much-magnity-the-wonderful-mystery-and-efficacy-of-this-sacrament-and-frequently-speak-of-a-great-supernatural-change-made-by-the-divine-benediction-which-we-also-readily-acknowledge-archbishop-tillotson-in-his-discourse-of-transubstantiation-pag-291-of-his-works-in-folio-publishd-in-his-life-time-by-john-johnson-am/oclc/642427099&referer=brief_results;4. Sacrifice and Eucharist (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Ladesma, Diego de;1520  - 1575;http://viaf.org/viaf/39472825;De diuinis Scripturis, quauis passim lingua, non legendis, simul et de sacrificio Missae, caeterisque officijs in Ecclesia Christi, hebraea tantum, graeca, aut latina lingua celebrandis, aduersus nostrae aetatis haereticos liber unus;1574;Cologne;;Calenius & Quentel;Latin;Coloniae, Quentel, 1597;Catholic;Mass;Ancient Greeks;Jews;Liturgy;"Catholic;Mass;Ancient Greeks;Jews;Liturgy";https://reader.digitale-sammlungen.de//resolve/display/bsb10194030.html;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
Latomus, Bartholomaeus;[1485] - [1570];http://viaf.org/viaf/282060667;De docta simplicitate primae ecclesiae, et de usu calicis in Synaxi, et de Eucharistico sacrificio, adversus petulantem insultationem Iacobi Andreae, Pastoris Göppingensis Barth. Latomi Responsio;1559;Cologne;;Maternum Cholinum;Latin;s.l., Cholinus, 1559;Catholic;Mess;Christianism (first centuries);Controversy;Chalice;"Catholic;Mess;Christianism (first centuries);Controversy;Chalice";https://daten.digitale-sammlungen.de/0002/bsb00023065/images/index.html?fip=193.174.98.30&id=00023065&seite=1;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Laurence, Roger;1670 - 1636;http://viaf.org/viaf/71741897;"The Bishop of Oxford's charge consider'd, in reference to the independency of the church upon the state, a proper sacrifice in the sacrament of the Lord's supper, the nature and necessity of sacerdotal absolution, and the invalidity of baptism, administered by persons not episcopally ordain'd.
";1712;London;;H. Clements;English;;Anglican treatise about Jesus' sacrifice and the supremacy of the Church on the Statee;;;;;"Anglican treatise about Jesus' sacrifice and the supremacy of the Church on the Statee;;;;";https://www.google.it/books/edition/The_Bishop_of_Oxford_s_Charge_Consider_d/s-NbAAAAQAAJ?hl=it&gbpv=1&dq=The+Bishop+of+Oxford%27s+charge+consider%27d&printsec=frontcover ;;;
Lonitzer, Johan;1497 - 1569;http://viaf.org/viaf/9870657;Figurarum, pro Missionum, Historiarum, Caeremoniarum, Victimarum, & Sacrificiorum, Ex Testamento vetere, Ad Christum Dei Filium, & Ecclesiam eius pertinentium Synaoroisis;1560;Franc;;Haered. Ch. Egen.;Latin;;Lutheran;Patriarchs;Ancient Sacrifices;Old Testament;;"Lutheran;Patriarchs;Ancient Sacrifices;Old Testament;";http://books.google.com/books?id=p7IX-H5CjA4C&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
Desmarets, Samuel;1599 - 1673;http://viaf.org/viaf/71369944;Disputationum exegeticarum ad confessionem Belgicam trigesima sexta, quae est de sacerdotio & sacrificio Christi, eaque prior ad articulum vigesimum primum;1648;Groningen;;Johannis Sas;Latin;;Reformed;Presbiterian;Confessio Belgica;Christ's Sacrifice;Controversy;"Reformed;Presbiterian;Confessio Belgica;Christ's Sacrifice;Controversy";https://books.google.it/books?id=LcfjAuo0_ioC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
"Marlorat, Augustin; Bèze, Théodore de ";"1506 - 1562; 1519 - 1605";"http://viaf.org/viaf/32005708; http://viaf.org/viaf/66463755";"Sommaire recueil des signes sacrez, sacrifices et sacremens instituez de Dieu depuis la création du monde ; et De la vraye origine du sacrifice de la messe";1561;[Caen];;[Pierre Philippe];French;;Calvinist;Liturgy;Mass;History;;"Calvinist;Liturgy;Mass;History;";https://books.google.it/books?id=1wne35HS_M8C&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
Martínez, Prado Juan de;? - 1668;http://viaf.org/viaf/164145857057522921479;De Eucharistiae Sanctissimo Sacramento, et Diuino Missae Sacrificio: dubitationes scholasticae [et] morales : super tertiam partem summae doctoris Angelici D. Thomae, à quaestione 73 vsque 83;1662;Collegio S. Thomae  [?];;Franciscum Coxedum;Latin;;Catholic;Sacrament;Eucharist;Saint Thomas;Mess;"Catholic;Sacrament;Eucharist;Saint Thomas;Mess";https://books.google.it/books?id=81Hrh5-wINQC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Moore, Thomas junior;? - ?;http://viaf.org/viaf/55605809;"Truth vindicating itself from treason and rebellion, or, A brief discovery how the faith of the Grace of God to manward, in, and through Christ Jesus our Lord, who once appeared in the end of the world, to put away sin by the sacrifice of himself, and by means thereof is Saviour of the world : as likewise the hope of his appearing the second time without sin, to the salvation of them that look for him : not onely clears itself from, but most directly and severely reproves all manner of sedition, and resisting the powers that God by his providence sets over us, whether they be good and gentle to us, or whether they be froward, and rise up against us
";1661;London;;printed for the author;English;;Theology;Redemption;Evil;Christ's sacrifice;Grace;"Theology;Redemption;Evil;Christ's sacrifice;Grace";"https://quod.lib.umich.edu/cgi/t/text/text-idx?c=eebo2;idno=B43467.0001.001";4. Sacrifice and Eucharist (16th-18th century);;
Musculus, Wolfgang;1497 - 1563;http://viaf.org/viaf/51760099;Adversus Libellum Iohannis Cochlaei De Sacerdotio ac Sacrificio novae legis aeditum: Anticochlaeus Primus;1544;Augsburg;;Ulhard;Latin;;Reformed;Priesthood;Controversy;New Alliance;John Cocleo;"Reformed;Priesthood;Controversy;New Alliance;John Cocleo";https://books.google.it/books?id=PlA8AAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Garet, Jean;1499 - 1571;http://viaf.org/viaf/39524294;"La Probation de la S. messe et sacrifice d'icelle tirée du vieil et nouveau Testament et des SS. Pères, contre les faussetez du sieur Du Plessis Mornay, par N. L. M. [Traduit du latin de Jean Garet.].
";1599;Paris;;n. p.;French;Paris, F. Duchesne et A. Rousset, 1600;Eucharist;Controversy;Exegesis;;;"Eucharist;Controversy;Exegesis;;";https://www.worldcat.org/title/probation-de-la-s-messe-et-sacrifice-dicelle-tiree-du-vieil-et-nouveau-testament-et-des-ss-peres-contre-les-faussetez-du-sieur-du-plessis-mornay-par-n-l-m-traduit-du-latin-de-jean-garet/oclc/1172024272?referer=di&ht=edition;4. Sacrifice and Eucharist (16th-18th century);;
