AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
"Millares Carlo, A.; Calvo, J.";;Los Protomártires del Japón (Nagasaki, 1597): Ensayo Biobibliográfico;;;;;;;?;Mexico City;1954
Brockey, L.;;Books of Martyrs: Example and Imitation in Europe and Japan, 1597–1650;;;The Catholic Historical Review;103;2;vi-223;;;2017
Brockey, L.;;Conquests of Memory: Franciscan Chronicles of the East Asian Church in the Early Modern Period;;;Culture and History Digital Journal;5;2;giu-13;;;2016
Vega y Carpio, L. de;;Los Mártires de Japón;;;;;;;Christina Lee;Newark, DE;2006
Esquerda Bifet, J.;;"""Pedro Kibe Kasui""";;;L'Osservatorio Romano;28;;10-nov;;Vatican City;2008
Brockey, L.;;The Visitor: André Palmeiro and the Jesuits in Asia;;;;;;;Harvard University Press;Cambridge;2014
Zupanov, I. G.;;Passage to India: Jesuit Spiritual Economy between Martyrdom and Profit in the Seventeenth Century;;;Journal of Early Modern History;16;2;121-159;;;2012
Rady, R-F.;;The Martyrs of Japan. Publication History and Catholic Missions in the Spanish World (Spain, New Spain, and the Philippines, 1597–1700);;;;;;;Brill;Boston-Leiden;2021
;Po-Chia Hsia, R.;A Companion to the Early Modern Catholic Global Missions;;;;;;;Brill;Boston-Leiden;2018
Berry, Mary Elizabeth;;Hideyoshi;;;;;;;Harvard University Press;Cambridge;1982
Dening, Walter;;Taiko: la vida de Toyotomi Hideyoshi;;;;;;;Satori;Gijón;2018
;Hall, John Whitney;The Cambridge History of Japan;;;;;;;Cambridge University Press;Cambridge;1990
Hsu, Carmen Y.;;El Japón de Bernardino de Ávila Girón;;;Actas del XV Congreso de la Asociación Internacio‐ nal de Hispanistas ̈Las dos orillas’. 2004, Ed. Beatriz Ma‐ riscal. México D.F.: Fondo de Cultura Económica;;;227-245;;;2007
Nawata Ward, H.;;Women Religious Leaders in Japan’s Christian Cen‐ tury, 1549–1650;;;;;;;Ashgate Published Limited;Farnham;2009
Ollé, M.;;La empresa de China. De la armada invencible al galeón de Manila;;;;;;;Acantilado;Barcelona;2002
Padrón, R.;;The Blood of Martyrs Is the Seed of the Monarchy: Empire, Utopia, and the Faith in Lope’s Triunfo de la fee en los reynos de Japón;;;Journal of Early Modern Studies;36;3;517-537;;;2006
Reyes Manzano, A.;;La Cruz y la Catana: relaciones entre España y Japón (Siglos XVI-XVII);;;;;;;Universidad de la Rioja;;2014
Richmond Ellis, R.;;They Need Nothing: Hispanic-Asian Encounters of the Colonial Period;;;;;;;University of Toronto Press;Toronto;2012
;Tena, P.;La imagen de España en Japón;;;;;;;Real Instituto Elecano;Madrid;2004
Sánchez Fuertes, C.;;Vida clandestina de un misionero en Japón;;;;;;;Punto Rojo;Sevilla;2014
Sola Castaño, E.;;Historia de un desencuentro. España y Japón, 1580-1614;;;;;;;Fugaz;Alcalá;1999
Tremml-Werner, B.;;Spain, China and Japan in Manila, 1571-1644. Local Comparisons and Global Con‐ nections;;;;;;;Amsterdam University Press;Amsterdam;2015
Tronu-Montané, C.;;Sacred Space and Ritual in Early Modern Japan: The Christian Community of Naga‐ saki (1569-1643);;;;;;;University of London;London;2012
Vega y Carpio, L. de;Cummins, J.S.;El triunfo de la fee en los reynos del Japón;;;;;;;Tamesis Book Limited;London;1965
Zamora Calvo, M. J.;;Japón y España: acercamientos y desencuentros (siglos XVII y XVII);;;;;;;Satori;Gijón;2012
Arimura, R.;;Nanban Art and its Globality: A Case Study of the New Spanish Mural The Great Martyrdom of Japan in 1597;;;Historia y sociedad;36;;21-56;;;2019
García Gutiérrez, F.;;Japón y Occidente: influencias recíprocas en el arte;;;;;;;Guadalquivir;Sevilla;1990
Kawamura, Y.;;Asia as seen by the Spanish ‘Empire’ during the 16th and 17th Centuries. Appreciation of Namban lacquer and other Asian artistic objects, and the Japanese art influences on Spanish America;;;The William and Mary Quarterly ;60;2;273-294;;;2017
Pagès, L.;;Histoire de la religion chrétienne au Japon;;;;;;;Charles Douniol;Paris;1869-70
Fenollosa, E. F.;;Epochs of Chinese & Japanese Art. An Outline History of East Asiatic Design;;;;;;;William Heinemann-Friedrich A. Stokes Company;London-New York;1912-1921
Nagayama, T.;;Collection of Historical Materials Connected with the Roman Catholic Religion in Japan;;;;;;;Taigai Shiryō Hōkan Kankōkai;Nagasaki;1925
Dahlmann, J.;;Japan älteste Beziehungen zum Westen 1542-1614 in zeitgenössischen Denkmälern seiner Kunst;;;;;;;Herder;Freiburg im Bresgau;1923
Schurhammer, G.;;Die Jesuitenmissionare des 16. und 17. Jahrhunderts und ihr Einfluss auf die japanische Malerei;;;The William and Mary Quarterly ;60;2;273-294;;;1933
;Weston, V.;Portugal, Jesuits, and Japan. Spiritual Beliefs ad Earthly Goods;;;;;;;McMullen Museum of Art;Boston;2013
Bailey, G. A.;;Art on the Jesuit Missions in Asia and Latin America, 1542-1773;;;;;;;University of Toronto Press;Buffalo-London-Toronto;1999
;"O'Malley, J.; Bailey, G. A.";The Jesuits and the Arts, 1540–1773;;;;;;;Saint Joseph University Press;Philadelphia;2005
López Beltrán,  L.;;Felipe de Jesús, primer santo de América, cuarto centenario de su natalicio, 1572-1972;;;;;;;Tradición;Ciudad de Mexico;1972
Ota Mishima, M. E.;;Un mural novohispano en la catedral de Cuernavaca: los veintiséis mártires de Nagasaki;;;The William and Mary Quarterly ;60;2;273-294;;;1981
Gorbea Trueba, J.;;Los frescos de la catedral de Cuernavaca, Morelos;;;Boletín del INAH;4;;;Universidad Iberoamerican;;1961
Cárdenas Argudín, L. M.;;Estudio histórico-artístico de los edificios del siglo XVI en el conjunto de la catedral de Cuernavaca;;;;;;;Universidad Iberoamerican;;1978
Islas García, L.;;Los murales de la catedral de Cuernavaca: afronte de México y Oriente;;;;;;;Talleres de la imprenta “La Esfera”;Ciudad de Mexico;1967
Estrada de Gerlero, E. I.;;Los protomártires del Japón en la hagiografía novohispana;;Los pinceles de la historia. De la patria criolla a la nación mexicana, 1750-1860, ed. Jaime Soler (Ciudad de México: Museo Nacional de Arte, 2000);;;;;;;2000
Fontana Calvo, M. C.;;Las pinturas murales del antiguo convento franciscano de Cuernavaca;;;;;;;Universidad Autónoma del Estado de Morelos ;Morelos;2010
Roldán-Figueroa, R.;;Religious Literature and its Institutional Contexts: Prelude to the Study of Spanish Accounts of Christian Martyrdom in Tokugawa Japan;;;Archiv für Reformationsgeschichte-Archive for Reformation History ;108;1;153-161;;;2017
Conover, C.;;Saintly Biography and the Cult of San Felipe de Jesús in Mexico City, 1597-1697;;;The Americas;67;4;441-466;;;2011
Meyers, A. & Hopkins, D. E.;;Manipulating the saints: Religious brotherhoods and social integration in postconquest Latin America;;;;;;;Wayasbah;Hamburg;1988
Morgan, R. J.;;Spanish American Saints and the Rhetoric of Identity, 1600-1810;;;;;;;University of Arizona press;Tucson;2002
Boero, G.;de Nino Jesus, P. A. de;Los docientos cinco martires del Japon, Relacion de la gloriosa muerte de los martires, beatificados por el sumo pontifice Pio IX;;;;;;;J.M. Lara;Mexico City;1869
Rubio, M.;;Tomas de habito y profesiones de la Provincia de San Gregorio de Filipinas (1583-1736);;;Missionalia Hispanica;18;54;;;;1961
Antolin A. P. and Sanchez Fuertes, C.;;La Descalcez Franciscana en Espana, Hispanoamerica y Extremo Oriente: sintesis historica, geografica y bibliografica;;;Archivo Ibero-Americano;59;;;;;1999
Pérez, L.;;Origen de las misiones franciscanas en el extremo oriente;;;Archivo Ibero-Americano;1;;;;;1914
Suazola, A. de;Pérez, L.;"Relacion del biaje del galeon San Phelipe, de su Majestad; arribada que hico al Japon y su perdida y lo que mas a sucedido,"" Manila, 1596";;;Archivo Ibero-Americano;16;46;54-55;;;1921
Pobre de Zamora, J.;Pérez, J. M.;Historia de la perdida y descubrimiento del galeon San Felipe;;;;;;;Imcodavila;Valladolid;1997
Landecho, M. de;;Testimonios autenticos acerea de los protomartires del Japon;;;;;;;Fondo Pagliai;Mexico City;1954
Jesus, J. de;Pérez, L.;Fr. Jeronimo de Jesus, restaurador de las misiones del Japón;;;Archivum Franciscanum Historicum;7;7;112-113;;;1924
Moran, J.F.;;The Japanese and the Jesuits: Alessandro Valignan in Sixteenth-Century Japan;;;;;;;;London-New York;1993
Blair, E. H. & Robertson, J. A.;;The Philippine Islands, 1493-1803;;;;;;;Routledge;Cleveland;1903-1909
Lach, D. F.;;Asia in the Making of Europe;;;;;;;The A.H. Clark Company;Chicago;1965-
Taylor, W. B.;;Colonial Saints: Discovering the Holy in the Americas, 1500-1800;;;;;;;Chicago University Press;New York;2003
Patterson, J. E.M.;;An Eighteenth-Century Account of Sati: John Zephaniah Holwell's ‘Religious Tenets of the Gentoos’ and ‘Voluntary Sacrifice’ (1767);;;;;;;Routledge;in South Asia: Journal of South Asian Studies, 40:1, 24-39;2016
Marsh, K.;;India in the French Imagination: Peripheral Voices,1754-1815;;;;;;;Pickering & Chatto;Oxford;2009
Chatterjee, P.;;The Black Hole of Empire: History of a Global Practice of Power;;;;;;;Princeton University Press;Princeton;2012
;Marshall, P.J.;The British Discovery of Hinduism in the Eighteenth Century;;;;;;;Cambridge University Press;Cambridge;1970
App, U.;;The Birth of Orientalism;;;;;;;University of Pennsylvania Press;Philadelphia;2010
Major, A.;;Pious Flames, European Encounters with Sati (1500-1830);;;;;;;Oxford University Press;Oxford;2006
;Fischer-Tiné, H. & Mann, M.;Colonialism as Civilizing Mission: Cultural Ideology in British India;;;;;;;Anthem Press;London;2004
Schürer, N.;;The Impartial Spectator of Satı, 1757–84;;;;;;;;in Journal of Eighteenth-Century Studies, Vol. 42, no. 1 (2008), p. 23.;2008
;Brittlebank, K.;Tall Tales and True: India, Historiography and British Imperial Imaginings;;;;;;;Monash University Press;Clayton;2008
Sweetman, W.;;Mapping Hinduism: ‘Hinduism’ and the Study of Indian Religions, 1600–1776;;;;;;;Verlag der Franckeschen Stiftungen zu Halle;Halle;2003
Neill, S.;;A History of Christianity in India 1707-1758;;;;;;;Cambridge University Press;Cambridge;1985
;Robinson, C. & York, M.;Encyclopedia of Hinduism;;;;;;;Routledge;Oxford;2008
Doniger O'Flaherty, W.;;The Origin of Evil in Hindu Mythology;;;;;;;University of California Press;Berkeley;1976
Fludernik, M.;;Suttee Revisited: From the Iconography of Martyrdom to the Burkean Sublime;;;;;;;;in New Literary History, Vol. 30, no. 2 (Spring 1999), pp. 411–37.;2009
Rajan, R. S.;;The Subject of Satı: Pain and Death in the Contemporary Discourse on Satı’;;;;;;;;in Yale Journal of Criticism, Vol. 3, no. 2 (1990), pp. 1–23.;1990
Grewal, J.S.;;Muslim Rule in India: The Assessments of British Historians;;;;;;;Oxford University Press;Oxford;1970
Schouten, J. P.;;A Foreign Culture Baptised: Roberto de Nobili and the Jesuits;;;;;;;;in Exchange 47.2 (2018): 183-198.;2018
;Fernando, L. & Gispert-Sauch, G.;Christianity in India: Two Thousand Years of Faith;;;;;;;Viking by Penguin Books India;New Delhi;2004
Plattner, F.A.;;Pfeffer und Seelen: Die Entdeckung des See- und Landweges nach Asien;;;;;;;Benziger;Eisiedeln;1955
Bachmann, P.R.;;Roberto Nobili 1577-1656: Ein missionsgeschichtlicher Beitrag zum christlichen Dialog mit Hinduismus;;;;;;;Institutum Historicum Societatis Iesu;Roma;1972
Cronin, V.;;A Pearl to India: The Life of Roberto de Nobili;;;;;;;Rupert Hart-Davis;London;1959
Rajamanickam, S.;;The First Oriental Scholar;;;;;;;De Nobili Research Institute;Palayamkottai;1972
Caland, W.;;Roberto de Nobili and the Sanskrit Language and Literature;;;Acta Orientalia;3;;38-51;;;1924
Dahmen,P.;;Robert de Nobili l’Apôtre des Brahmes;;;;;;;Spes;Paris;1931
