AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Winsser, J. ;;"Mary Dyer and the ""Monster"" Story";;;Quaker History;79;1;20-34;;;1990
Harrison, J. ;;Narrative of the Martyrdom, at Boston of William Robinson, Marmaduke Stevenson, Mary Dyer, and William Leddra, in the Year 1659. With Some Particulars of the Judgments which Befel Their Persecutors and the State of New England;;;;;;;John Harrison;Manchester;1841
Selleck, G.;;Dove at the Windows: Last Letters of Four Quaker Martyrs;;;;;;;Penmaen Press;Lincoln, Mass.;1974
Gardina Pestana, C. ;;The Quker Executions as Myth and History;;;The Journal of American History;80;2;441-469;;;1993
Vann, R. T.;;Friends Sufferings—Collected and Recollected;;;Quaker History ;61;1;24-35;;;1972
"Garcia Pinilla, I. J.; Lort Nelson, J.";;Una carta de Francisco de Enzinas (Dryander) en el martirologio de John Foxe;;;Bibliothèque d'Humanisme et Renaissance;61;2;515-528;;;1999
Lestringant, F. ;;"Salomon et le sang des Martyrs: Du Martyrologe Huguenot Aux ""Tragiques"" D'Agrippa D'Aubigné";;;Revue d'Histoire littéraire de la France;92e;4;657-668;;;1992
Morrissey, T.;;Among the Irish Martyrs: Dominic Collins, S.J., in His Times (1566-1602);;;Studies: An Irish Quarterly Review;81;323;313-325;;;1992
Finegan, F. ;;The Beatified Martyrs of Ireland;;;Irish Theological Quarterly;65;;157–167;;;2000
Forristal, D.;;Dominic Collins: Irish Martyr, Jesuit Brother;;;;;;;Messenger Publications;Dublin;1992
Decker, J. M. ;;Interpreting Latimer: Wordsworthian Martyr or Textual Alchemist? ;;;George Eliot - George Henry Lewes Studies;20/21;;58-62;;;1992
Darby, H. S.;;Hugh Latimer;;;;;;;The Epworth Press;London;1953
Auffarth, C.;"Dijkstra, J.; Kroesen, J.; Kuiper, Y.";Living Well and Living On: Martyrdom and the Imago vitae in the Early Modern Age;Martyrdom and the Imago vitae;Myths, Martyrs, and Modernity. Studies in the History of Religions in Honour of Jan N. Bremmer;;;;569-592;Brill;Leiden;2010
"Evenden, E.; Freeman, T. S.";;;The Making of John Foxe's 'Book of Martyrs';Religion and the Book in Early Modern England: The Making of John Foxe's 'Book of Martyrs';;;;;Cambridge University Press;Cambridge;2011
