AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Anonymous / Unknown;;;The Famous Tragedie of King Charles I. Basely Butchered by Those Who Are, Omne nefas proni patare pudoris inanes crudeles, violenti, importunique tyranni mendaces, falsi, perversi, perfidiosi, faedifragi, falsis verbis infunda loquentes. In Which Is Included, The Several Combinations and Machinations That Brought That Incomparable Prince to the Block, the Overtures Hapning at the Famous Seige of Colchester, the Tragicall Fals of Sir Charls Lucas and Sir George Lisle, the Just Reward of the Leveller Rainsborough, Hamilton and Bailies Trecheries, in Delivering the Late Scottish Army Into the Hands of Cromwell, and the Designe the Rebels Have, to Destroy the Royal Posterity;The Famous Tragedie of King Charles I. Basely Butchered by Those Who Are, Omne nefas proni patare pudoris inanes crudeles, violenti, importunique tyranni mendaces, falsi, perversi, perfidiosi, faedifragi, falsis verbis infunda loquentes. In Which Is Included, The Several Combinations and Machinations That Brought That Incomparable Prince to the Block, the Overtures Hapning at the Famous Seige of Colchester, the Tragicall Fals of Sir Charls Lucas and Sir George Lisle, the Just Reward of the Leveller Rainsborough, Hamilton and Bailies Trecheries, in Delivering the Late Scottish Army Into the Hands of Cromwell, and the Designe the Rebels Have, to Destroy the Royal Posterity;1649;n.p.;;n.p.;English;;Regicide;Secular Martyrs;Theatre;Tragedies;Royalists;http://name.umdl.umich.edu/A40857.0001.001
Anonymous / Unknown;;;Cromwell's Conspiracy. A Tragy-Comedy, Relating to Our Latter Times. Beginning at the Death of King Charles the First, and Ending With the Happy Restauration of King Charles the Second;Cromwell's Conspiracy. A Tragy-Comedy, Relating to Our Latter Times. Beginning at the Death of King Charles the First, and Ending With the Happy Restauration of King Charles the Second;1660;London;;n.p.;English;;Regicide;Secular Martyrs;Theatre;Tragedies;Propaganda;https://www.proquest.com/books/cromwells-conspiracy-tragy-comedy-relating-our/docview/2240953727/se-2?accountid=201395
Anonymous / Unknown;;;"The English Devil: Or, Cromwel and His Monstrous Witch Discover'd at White-Hall: With the Strange and Damnable Speech of This Hellish Monster, by Way of Revelation, Touching King and Kingdom; and a Narrative of the Infernal Plots, Inhumane Actings, and Barbarous Conspiracies of This Grand Impostor, and Most Audacious Rebel, That Durst Aspire From a Brew-House to the Throne, Washing His Accursed Hands in the Blood of His Royal Soveraign; and Trampling Over the Heads of the Most Loyal Subjects, Making a Foot-ball of a Crown, and Endeavouring Utterly to Extirpate the Royal Progeny, Root and Kinde, Stem and Stock";"The English Devil: Or, Cromwel and His Monstrous Witch Discover'd at White-Hall: With the Strange and Damnable Speech of This Hellish Monster, by Way of Revelation, Touching King and Kingdom; and a Narrative of the Infernal Plots, Inhumane Actings, and Barbarous Conspiracies of This Grand Impostor, and Most Audacious Rebel, That Durst Aspire From a Brew-House to the Throne, Washing His Accursed Hands in the Blood of His Royal Soveraign; and Trampling Over the Heads of the Most Loyal Subjects, Making a Foot-ball of a Crown, and Endeavouring Utterly to Extirpate the Royal Progeny, Root and Kinde, Stem and Stock";1660;London;;"Robert Wood; George Horton";English;;Regicide;Secular Martyrs;Propaganda;Royalists;;http://name.umdl.umich.edu/A84013.0001.001
[John Crouch];? - ?;http://viaf.org/viaf/5274454;A Tragi-Comedy, Called New-Market-Fayre, or A Parliament Out-Cry: of State-Commodities, Set to Sale;A Tragi-Comedy, Called New-Market-Fayre, or A Parliament Out-Cry: of State-Commodities, Set to Sale;1649;[London];;n.p.;English;;Regicide;Theatre;Tragedies;Secular Martyrs;Propaganda;http://name.umdl.umich.edu/A63042.0001.001
[John Crouch];? - ?;http://viaf.org/viaf/5274454;The Second Part of the Tragi-Comedy, Called New-Market-Fayre or Mrs. Parliaments New Figaryes;The Second Part of the Tragi-Comedy, Called New-Market-Fayre or Mrs. Parliaments New Figaryes;1649;[London];;n.p.;English;;Regicide;Theatre;Tragedies;Secular Martyrs;Propaganda;http://name.umdl.umich.edu/A92826.0001.001
Milton, John;1608 - 1674;http://viaf.org/viaf/17226855;Defensio secunda pro populo anglicano: contra infamem libellum anonymum, cujus titulus, Regii sanguinis clamor adversus parricidas anglicanos. Accessit Alexandri Mori ecclesiastae, Sacrarumque Litterarum professoris fides publica, contra calumnias Ioannis Miltoni scurrae;Defensio secunda pro populo anglicano: contra infamem libellum anonymum, cujus titulus, Regii sanguinis clamor adversus parricidas anglicanos. Accessit Alexandri Mori ecclesiastae, Sacrarumque Litterarum professoris fides publica, contra calumnias Ioannis Miltoni scurrae;1654;Den Haag;;Adriaan Vlacq;Latin;;Regicide;Political Sacrifice;Sacrifice for the Nation;Controversy;;https://www.google.it/books/edition/Defensio_secunda_pro_populo_anglicano_co/eldhAAAAcAAJ?hl=it&gbpv=0
Anonymous / Unknown;;;Regii sanguinis clamor ad coelum adversus parricidas anglicanos;Regii sanguinis clamor ad coelum adversus parricidas anglicanos;1652;Den Haag;;Adriaan Vlacq;Latin;;Regicide;Secular Martyrs;Controversy;Royalists;;https://www.google.it/books/edition/Regii_sanguinis_clamor_ad_coelum_adversu/lvA8AAAAcAAJ?hl=it&gbpv=0
Wither, George;1588 - 1667;http://viaf.org/viaf/59880559;"The Protector. A Poem Briefly Illustrating the Supereminency of That Dignity; and, Rationally Demonstrating, That the Title of Protector, Providentially Conferred Upon the Supreme Governour of the British Republike, Is the Most Honorable of All Titles, and, That, Which, Probably, Promiseth Most Propitiousness to These Nations; If Our Sins and Divisions Prevent It Not";"The Protector. A Poem Briefly Illustrating the Supereminency of That Dignity; and, Rationally Demonstrating, That the Title of Protector, Providentially Conferred Upon the Supreme Governour of the British Republike, Is the Most Honorable of All Titles, and, That, Which, Probably, Promiseth Most Propitiousness to These Nations; If Our Sins and Divisions Prevent It Not";1655;London;;J. C.;English;;Political Sacrifice;Sacrifice for the Nation;Secular Martyrs;Poems;Propaganda;http://name.umdl.umich.edu/A96764.0001.001
Moore, John;;;"Protection Proclaimed (Through the Loving Kindness of God in the Present Government) to the Three Nations of England, Scotland, and Ireland: Wherein the Government Established, in the Lord Protector and His Council, Is Proved to Be of Divine Institution; and the Great Stumbling-block of Thousands of Christians (in Regard of His Title) Removed; Proving It to Be None Other Than What Hath Been Given to Those Whom God Hath Made Instrumental for His Peoples Deliverance of Old. Written to Satisfie Unsatisfied Consciences, by John Moore, a Well-Wisher to the Peace of Our English Jerusalem";"Protection Proclaimed (Through the Loving Kindness of God in the Present Government) to the Three Nations of England, Scotland, and Ireland: Wherein the Government Established, in the Lord Protector and His Council, Is Proved to Be of Divine Institution; and the Great Stumbling-block of Thousands of Christians (in Regard of His Title) Removed; Proving It to Be None Other Than What Hath Been Given to Those Whom God Hath Made Instrumental for His Peoples Deliverance of Old. Written to Satisfie Unsatisfied Consciences, by John Moore, a Well-Wisher to the Peace of Our English Jerusalem";1656 [1655];London;;"J. C.; Henry Fletcher";English;;Church-State Relations;English Civil War;Propaganda;;;http://name.umdl.umich.edu/A89259.0001.001
Anonymous / Unknown;;;"The Unparalleld Monarch. Or, the Portraiture of a Matchless Prince; Exprest in Some Shadows of His Highness My Lord Protector";"The Unparalleld Monarch. Or, the Portraiture of a Matchless Prince; Exprest in Some Shadows of His Highness My Lord Protector";1656;London;;Humphrey Robinson;English;;Regicide;Secular Martyrs;Propaganda;English Civil War;;https://books.google.it/books?id=fgQ-AQAAMAAJ&pg=PP26&lpg=PP26&dq=the+unparalleld+monarch&source=bl&ots=498sxtufkB&sig=ACfU3U3ZdOfKmL5F3fM1U0mySgk9luCc7Q&hl=it&sa=X&ved=2ahUKEwjx1-L7zKjyAhVFt6QKHXRsC7YQ6AF6BAgkEAM#v=onepage&q&f=false
Allen, William;? - ?;;Killing Noe Murder. Briefly Discourst in Three Quaestions;Killing Noe Murder. Briefly Discourst in Three Quaestions;[1657];[London];;n.p.;English;London, 1689;Regicide;Political Sacrifice;Sacrifice for the Nation;Controversy;;http://name.umdl.umich.edu/A94382.0001.001
Hawke, Michael;? - ?;http://viaf.org/viaf/71745360;"Killing Is Murder, and No Murder: Or, an Exercitation Concerning a Scurrilous Pamphlet, of One William Allen, A Jesuitical Impostor; Intituled Killing No Murder: Wherein His Highness Honor Is Vindicated and Allens Impostors Discovered. And Wherein the True Grounds of Government Are Stated, and His Fallacious Principles Detected and Rejected. As Also His Calumnious Scoffs Are Prestringed and Cramb'd Down His Own Throat";"Killing Is Murder, and No Murder: Or, an Exercitation Concerning a Scurrilous Pamphlet, of One William Allen, A Jesuitical Impostor; Intituled Killing No Murder: Wherein His Highness Honor Is Vindicated and Allens Impostors Discovered. And Wherein the True Grounds of Government Are Stated, and His Fallacious Principles Detected and Rejected. As Also His Calumnious Scoffs Are Prestringed and Cramb'd Down His Own Throat";1657;London;;n.p.;English;;Regicide;Political Sacrifice;Controversy;;;http://name.umdl.umich.edu/A43095.0001.001
Slater, Samuel;? - 1704;http://viaf.org/viaf/22482746;The Protectors Protection, or, the Pious Prince Guarded by a Praying People. A Sermon Preached at St. Edmundsbury in Suffolk, Upon the 13 Octob. 1658, Being a Day Set Apart for Solemn Fasting and Humiliation and Seeking a Blessing Upon His Highness the Lord Protector;The Protectors Protection, or, the Pious Prince Guarded by a Praying People. A Sermon Preached at St. Edmundsbury in Suffolk, Upon the 13 Octob. 1658, Being a Day Set Apart for Solemn Fasting and Humiliation and Seeking a Blessing Upon His Highness the Lord Protector;1659;London;;"T. J.; William Fisher";English;;Political Sacrifice;Church-State Relations;Sermons;Propaganda;;http://name.umdl.umich.edu/a60350.0001.001
Anonymous / Unknown;;;The World in a Maize, or, Olivers Ghost;The World in a Maize, or, Olivers Ghost;1659;London;;n.p.;English;;Regicide;Secular Martyrs;Propaganda;Royalists;Dialogs;https://www.proquest.com/books/vvorld-maize-olivers-ghost/docview/2248558312/se-2?accountid=201395
Anonymous / Unknown;;;A Dialogue Betwixt the Ghosts of Charls the I, Late King of England: and Oliver the Late Usurping Protector;A Dialogue Betwixt the Ghosts of Charls the I, Late King of England: and Oliver the Late Usurping Protector;1659;London;;n.p.;English;;Regicide;Secular Martyrs;Propaganda;Royalists;Dialogs;http://name.umdl.umich.edu/A81434.0001.001
Wood, Adam;? - ?;;A New Conference Between the Ghosts of King Charles and Oliver Cromwell;A New Conference Between the Ghosts of King Charles and Oliver Cromwell;1659;London;;Robert Page;English;;Regicide;Secular Martyrs;Propaganda;Royalists;Dialogs;http://name.umdl.umich.edu/A96857.0001.001
Anonymous / Unknown;;;"Hells Higher Court of Justice; or, the Triall of the Three Politck Ghosts, viz. Oliver Cromwell, King of Sweden and Cardinal Mazarine";"Hells Higher Court of Justice; or, the Triall of the Three Politck Ghosts, viz. Oliver Cromwell, King of Sweden and Cardinal Mazarine";1661;London;;n.p.;English;;Regicide;Tragedies;Theatre;Royalists;Propaganda;https://www.proquest.com/books/hells-higher-court-justice-trial-three-politick/docview/2240925198/se-2?accountid=201395
Anonymous / Unknown;;;The Court Career Death Shaddow'd to Life. Or Shadowes of Life and Death. A Pasquil Dialogue Seriously Perused and Highly Approved by the Clearest Judgments;The Court Career Death Shaddow'd to Life. Or Shadowes of Life and Death. A Pasquil Dialogue Seriously Perused and Highly Approved by the Clearest Judgments;1659;[London];;n.p.;English;;Regicide;Secular Martyrs;Propaganda;Royalists;Dialogs;http://name.umdl.umich.edu/A80691.0001.001
Jevon, Rachel;? - ?;http://viaf.org/viaf/69277390;Exultationis carmen to the Kings Most Excellent Majesty Upon His Most Desired Return;Exultationis carmen to the Kings Most Excellent Majesty Upon His Most Desired Return;1660;London;;John Macock;English;;Secular Martyr;Royalists;Propaganda;Poems;;http://name.umdl.umich.edu/A87584.0001.001
Waller, Edmund;1606 - 1687;http://viaf.org/viaf/47109686;To the King, Upon His Majesty Happy Return;To the King, Upon His Majesty Happy Return;1660?;London;;Henry Herringman;English;;Secular Martyr;Royalists;Propaganda;Poems;;http://name.umdl.umich.edu/A67346.0001.001
Parker, Samuel;1640 - 1688;http://viaf.org/viaf/79251518;"Dr. Samuel Parker Lord Bishop of Oxford's Reasons for abrogating the test imposed upon all Members of Parliament. Anno 1678. Octob. 30 : In these words: I A.B. do solemnly and sincerely, in the presence of God, profess, testifie, and declare, that I do believe that in the Sacrament of the Lord's Supper there is not any transubstantiation of the elements of bread and wine into the body and blood of Christ, at, or after the consecration thereof by any persons whatsoever; and that the invocation or adoration of the Virgin Mary, or any other saint, and the sacrifice of the Mass, as they are now used in the Church of Rome, are superstitious and idolatrous. First written for the author's own satisfaction; and now published for the benefit of all others whom it may concern";"Dr. Samuel Parker Lord Bishop of Oxford's Reasons for abrogating the test imposed upon all Members of Parliament. Anno 1678. Octob. 30 : In these words: I A.B. do solemnly and sincerely, in the presence of God, profess, testifie, and declare, that I do believe that in the Sacrament of the Lord's Supper there is not any transubstantiation of the elements of bread and wine into the body and blood of Christ, at, or after the consecration thereof by any persons whatsoever; and that the invocation or adoration of the Virgin Mary, or any other saint, and the sacrifice of the Mass, as they are now used in the Church of Rome, are superstitious and idolatrous. First written for the author's own satisfaction; and now published for the benefit of all others whom it may concern";1688;[Edinburgh];;Holy Rood House;English;;Theology;Anglicanism;Eucharist;Transubstantiation;;https://books.google.it/books?id=7NtmAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Anonymous / Unknown;? - ?;;Balaams Asse, Or The City-Fast For Cursing the King : And Blessing Oliver. With the Peoples Speech to Their Independent Drivers. And the Asses Sacrifice, or Good Speed to Oliver;Balaams Asse, Or The City-Fast For Cursing the King : And Blessing Oliver. With the Peoples Speech to Their Independent Drivers. And the Asses Sacrifice, or Good Speed to Oliver;1649;n. p.;;n. p.;English;;English Civil War;Regicide;Bible, Numbers;;;"https://quod.lib.umich.edu/cgi/t/text/text-idx?c=eebo2;idno=A77769.0001.001 "
