AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Geusius, Jacobus ;? - ?;http://viaf.org/viaf/18338089;Victimae Humanae, complexa Modos, Ceremonias et Tempora quibus olim Homines Diis suis immolabant et humanum sanguinem libabant;Victimae Humanae, complexa Modos, Ceremonias et Tempora quibus olim Homines Diis suis immolabant et humanum sanguinem libabant;1675;Groningen;Dominicus Lens;Latin;Ancient Sacrifices;Humand Sacrifices;Blood;;;https://books.google.it/books?id=LsQDn-m49Q4C&pg=PP3&lpg=PP3&dq=Victimae+Humanae,+complexa+Modos,+Ceremonias+et+Tempora+quibus+olim+Homines+Diis+suis+immolabant+et+humanum+sanguinem+libabant&source=bl&ots=epc1Vni5tw&sig=ACfU3U288v45xUJyDUn3tsaTEOjd_YQ5Ew&hl=it&sa=X&ved=2ahUKEwjBuarYjtjwAhUBDuwKHaAXA7UQ6AEwBnoECAcQAw#v=onepage&q=Victimae%20Humanae%2C%20complexa%20Modos%2C%20Ceremonias%20et%20Tempora%20quibus%20olim%20Homines%20Diis%20suis%20immolabant%20et%20humanum%20sanguinem%20libabant&f=false
Blount, Charles ;1654 - 1693;http://viaf.org/viaf/59242131;Great is Diana of the Ephesians, or, The Original of Idolatry, Together with the Politick Institution of the Gentiles Sacrifices;Great is Diana of the Ephesians, or, The Original of Idolatry, Together with the Politick Institution of the Gentiles Sacrifices;1680;London;n. p.;English;Diana;Idolatry;Ancient Sacrifice;Paganism;;https://quod.lib.umich.edu/e/eebo/A28435.0001.001?view=toc
"
Choul, Guillaume du";[1496] - 1555;http://viaf.org/viaf/100204710;Discours sur la religion des anciens Romains;Discours sur la religion des anciens Romains;1556;Lyon;Guillaume Rouille;French;Ancient Sacrifices;Antient Romans;Antiquarianism;;;https://gallica.bnf.fr/ark:/12148/bpt6k54532z.image
Montesquieu, Charles de Secondat;1689 - 1755;http://viaf.org/viaf/27069096;Pensées, n. 673, in OEuvres Complètes;Pensées, n. 673, in OEuvres Complètes;1964;Paris;Seuil;French;Ancient Sacrifices;Early Christianity;Antiquarianism;;;https://www.worldcat.org/title/uvres-completes/oclc/1806765
Montesquieu, Charles de Secondat;1689 - 1755;http://viaf.org/viaf/27069096;Lettres persanes, n. 17;Lettres persanes, n. 17;1721;Amsterdam;;French;Ancient Sacrifices;Early Christianity;France;;;https://gallica.bnf.fr/ark:/12148/bpt6k1051588x/f5.image.r=
Jaucourt, Louis de;1704 - 1780;http://viaf.org/viaf/51744988;Sacrifice d'Abel in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 14;Sacrifice d'Abel in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 14;1765;Paris;Samuel Faulcher;French;Blood;Abel and Cain;Bible, Old Testament;Animals;France;https://www.biodiversitylibrary.org/item/177057#page/7/mode/1up
Stuckius, Johann Wilhelm; 1542 - 1607;http://viaf.org/viaf/79252936;Sacrorum, sacrificiorumque gentilium brevis et accurata descriptio;Sacrorum, sacrificiorumque gentilium brevis et accurata descriptio;1598;Zürich;Johannis Wulpius;Latin;Ancient Rituals;Ancient Romans;;;;https://books.google.it/books?id=XG5FAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Mallet, Edme [L'Abbé];1713 - 1755;http://viaf.org/viaf/39619852;Holocauste in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 8;Holocauste in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 8;1565;Neuchâtel;Samuel Faulcher;French;Animals;Blood;Reconciliation;France;;https://www.biodiversitylibrary.org/item/162384#page/7/mode/1up
Jaucourt, Louis de ;1704 - 1779;http://viaf.org/viaf/51744988;Moloch in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 10;Moloch in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 10;1765;Neuchâtel;Samuel Faulcher;French;Moloch;France;;;;https://www.biodiversitylibrary.org/item/173679#page/7/mode/1up
Jaucourt, Louis de ;1704  -1779;http://viaf.org/viaf/51744988;Sacrifices des Hébreux in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 14;Sacrifices des Hébreux in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 14;1765;Neuchâtel;Samuel Faulcher;French;Jews;Bible, Old Testament;Paganism;France;;https://www.biodiversitylibrary.org/item/177057#page/7/mode/1up
Jaucourt, Louis de ;1704 - 1779;http://viaf.org/viaf/51744988;Sacrifice du paganisme in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 14;Sacrifice du paganisme in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 14;1765;Neuchâtel;Samuel Faulcher;French;Paganism;Idolatry;Blood;France;;https://www.biodiversitylibrary.org/item/177057#page/7/mode/1up
Jaucourt, Louis de ;1704 - 1779;http://viaf.org/viaf/51744988;Fanatisme in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 6;Fanatisme in Encyclopédie, ou Dictionnaire des sciences, des arts et des métiers, vol. 6;1756;Paris;"Briasson; David; Le Breton; Durand";French;Paganism;Ancient Sacrifices;France;;;https://www.google.it/books/edition/Encyclop%C3%A9die_Ou_Dictionnaire_Raisonn%C3%A9/GnVEAAAAcAAJ?hl=it&gbpv=1&dq=encyclop%C3%A9die+ou+dictionnaire+raisonn%C3%A9+des+sciences+des+arts+et+des+m%C3%A9tiers+volume+6&printsec=frontcover
Fabrot, Charles Annibal;1580 - 1659;http://viaf.org/viaf/46751372;Ad tit. cod. Theodosiani de paganis, sacrificiis, & templis, notae;Ad tit. cod. Theodosiani de paganis, sacrificiis, & templis, notae;1618;Lutetia;Sebastianus Cramoisiy;Latin;Paganism;Ancient Sacrifices;Ancient Romans;;;https://books.google.com.bz/books?id=91IUAAAAQAAJ&printsec=frontcover&hl=it#v=onepage&q&f=false
Merula, Paullus;1558 - 1607;http://viaf.org/viaf/76746817;Opera varia posthuma, De sacrificiis romanorum. De sacerdotibus romanorum. De legibus romanorum. De comitiis romanorum & praemiis quae militiam sequebantur. Juxta autographum cum amplissimo indice edita & recensita;Opera varia posthuma, De sacrificiis romanorum. De sacerdotibus romanorum. De legibus romanorum. De comitiis romanorum & praemiis quae militiam sequebantur. Juxta autographum cum amplissimo indice edita & recensita;1684;Leiden;"Petrus A. Meersche; Joannis De Vivie";Latin;Ancient Sacrifices;Ancient Romans;Sacrifice for the Nation;;;https://books.google.it/books?id=Oj5AAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
"[Bolland, Jean; Henschen, Godefridus; Tollenaer, Jean de]";"1596 - 1695; 1601 - 1681; 1582 - 1643";"http://viaf.org/viaf/44321670; http://viaf.org/viaf/36941415; http://viaf.org/viaf/45404041";Imago primi saeculi Societatis Iesu a Provincia Flandro-Belgica eiusdem Societatis repraesentata;Imago primi saeculi Societatis Iesu a Provincia Flandro-Belgica eiusdem Societatis repraesentata;1640;Antwerp;ex Officina Plantiniana Balthasaris Moreti;Latin;Catholicism;Jesuits (S.J.);Antiquarianism;First Christians;;https://www.google.it/books/edition/Imago_Primi_Saeculi_Societatis_Iesu/AulVAAAAcAAJ?hl=it&gbpv=1&dq=imago+primi+saeculi&printsec=frontcover
"Cavalieri, Giovanni Battista; Circignani, Niccolò";"[1525] - 1601; [1520] - [1596]";"http://viaf.org/viaf/66739143; http://viaf.org/viaf/88623996";Ecclesiae militantis triumphi sive Deo amabilium martyrum gloriosa pro Christi fide certamina ... in ecclesia S. Stephani Rotundi, Romae Nicolai Circiniani pictoris manu visuntur depicta [...];Ecclesiae militantis triumphi sive Deo amabilium martyrum gloriosa pro Christi fide certamina ... in ecclesia S. Stephani Rotundi, Romae Nicolai Circiniani pictoris manu visuntur depicta [...];1583;Rome;Bartholomeus Grassi;Latin;Catholicism;Engravings;Rome;First Christians;;https://www.google.it/books/edition/Ecclesiae_militantis_triumphi_siue_Deo_a/nGHZ5B4YJYAC?hl=it&gbpv=1&dq=ecclesiae+militantis+triumphi&printsec=frontcover
